                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1981,                 5.3229,                 1.1501,                      0,                      0,                      0,                      0,                0.88212,                 5.3553,                0.90325,              9.261e-05,              9.261e-05,              9.261e-05
                      2,                0.89691,                 4.1176,                0.98235,                0.09913,                0.55675,                0.21782,                0.18672,                 0.7852,                 4.6599,                0.87395,             0.00018528,             0.00018528,             0.00018528
                      3,                0.85201,                 3.5507,                0.97633,                0.03652,                0.97579,                0.32486,                0.27938,                0.75611,                 4.0493,                0.88644,             0.00027526,             0.00027526,             0.00027526
                      4,                0.85902,                 3.3457,                0.97186,                 0.4119,                0.46757,                0.47912,                 0.4032,                0.81892,                 3.5809,                 0.8987,             0.00027387,             0.00027387,             0.00027387
                      5,                0.79432,                  3.067,                 0.9527,                0.40635,                0.56423,                0.57341,                0.45471,                0.80807,                 3.1237,                0.91125,             0.00027387,             0.00027387,             0.00027387
                      6,                 0.8182,                 2.7862,                0.96257,                0.47068,                0.70233,                0.66662,                0.55833,                0.79219,                 3.0086,                0.91334,             0.00026982,             0.00026982,             0.00026982
                      7,                0.78434,                 2.5572,                0.94946,                0.64418,                0.65972,                0.75817,                0.63191,                0.75886,                 2.5879,                0.89603,             0.00026578,             0.00026578,             0.00026578
                      8,                0.77298,                 2.3013,                0.94476,                0.57659,                0.72609,                0.76454,                0.63826,                0.71176,                 2.3101,                0.89245,             0.00026173,             0.00026173,             0.00026173
                      9,                0.76543,                 2.0295,                0.94764,                0.73911,                0.82295,                 0.8951,                0.75796,                0.72911,                 2.0695,                0.88694,             0.00025769,             0.00025769,             0.00025769
                     10,                0.72589,                 1.9115,                 0.9399,                0.83819,                  0.852,                0.93881,                0.79854,                0.71023,                  1.764,                  0.882,             0.00025364,             0.00025364,             0.00025364
                     11,                0.71699,                 1.7241,                0.93472,                 0.8123,                0.85543,                0.96802,                0.82828,                 0.7081,                 1.7093,                0.88991,              0.0002496,              0.0002496,              0.0002496
                     12,                0.70958,                 1.6354,                 0.9177,                0.80944,                0.91056,                0.96336,                0.81626,                0.72398,                 1.5154,                  0.882,             0.00024555,             0.00024555,             0.00024555
                     13,                0.70693,                 1.4982,                0.92978,                0.77077,                0.96879,                0.97839,                0.80864,                0.77196,                 1.4856,                0.89407,             0.00024151,             0.00024151,             0.00024151
